1,0.091786,0.010165,0.081621,41,0,10
10,0.099307,0.009626,0.089681,39,2,10
11,0.09764,0.013145,0.084495,41,2,10
12,0.098906,0.00893,0.089976,39,0,10
13,0.090538,0.010191,0.080347,39,3,9
14,0.063446,0.006316,0.05713,11,2,1
15,0.09707,0.008356,0.088714,36,3,9
16,0.04007,0.002909,0.037161,6,1,1
17,0.097228,0.01388,0.083348,39,0,10
18,0.090912,0.009102,0.08181,39,3,9
19,0.090784,0.006565,0.084219,32,1,9
2,0.099377,0.012709,0.086668,39,3,10
20,0.090975,0.011297,0.079678,39,2,9
21,0.089984,0.004358,0.085626,14,0,1
22,0.097386,0.013252,0.084134,39,2,10
23,0.089777,0.008924,0.080853,37,1,9
24,0.080218,0.010978,0.06924,39,3,9
25,0.061859,0.008422,0.053437,23,1,7
26,0.056177,0.00289,0.053287,9,0,1
27,0.097252,0.008061,0.089191,41,0,10
28,0.097204,0.016197,0.081007,39,3,10
29,0.095252,0.011211,0.084041,39,0,9
3,0.096379,0.011301,0.085078,39,3,9
30,0.068992,0.007741,0.061251,12,0,1
4,0.070173,0.004406,0.065767,13,2,1
5,0.099293,0.012333,0.08696,39,1,10
6,0.098931,0.009208,0.089723,39,2,9
7,0.07224,0.007269,0.064971,13,1,1
8,0.071901,0.003796,0.068105,13,1,1
9,0.097692,0.010682,0.08701,39,3,9
